Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Hazel van Wensen,Heuristieken 2,h1,C1.112,vr,11
Hazel van Wensen,Heuristieken 2,w1,C0.110,vr,9
Sharen Kortlever,Kansrekenen 2,h1,C0.110,ma,11
Sharen Kortlever,Kansrekenen 2,h2,C0.110,ma,13
Sharen Kortlever,Databases 2,h1,C1.112,di,13
Sharen Kortlever,Databases 2,w2,A1.04,wo,13
Sharen Kortlever,Analysemethoden en -technieken,h1,C0.110,do,11
Gabe Haarman,Technology for games,h2,A1.04,di,11
Gabe Haarman,Technology for games,h1,A1.10,vr,9
Gabe Haarman,Technology for games,w1,A1.10,ma,11
Jacky van Apeldoorn,Interactie-ontwerp,h2,C1.112,do,11
Jacky van Apeldoorn,Interactie-ontwerp,h1,C1.112,do,9
Tori Roeterdink,Calculus 2,w1,C1.112,wo,13
Tori Roeterdink,Calculus 2,h1,C0.110,wo,15
Guus Heijnen,Calculus 2,w1,C1.112,wo,13
Guus Heijnen,Calculus 2,h1,C0.110,wo,15
Guus Heijnen,Project Numerical Recipes,p1,A1.06,ma,11
Yuri van Mourik,Bioinformatica,h3,A1.10,do,11
Yuri van Mourik,Software engineering,h1,C0.110,ma,15
Yuri van Mourik,Bioinformatica,h2,B0.201,vr,11
Yuri van Mourik,Software engineering,w1,B0.201,ma,13
Yuri van Mourik,Bioinformatica,h1,B0.201,ma,11
Yuri van Mourik,Webprogrammeren en databases,w2,A1.10,do,9
Yuri van Mourik,Webprogrammeren en databases,h1,C0.110,do,13
Yuri van Mourik,Bioinformatica,w2,A1.06,di,13
Yuri van Mourik,Software engineering,p1,C1.112,vr,13
Yuri van Mourik,Bioinformatica,p3,A1.06,wo,13
Yuri van Mourik,Webprogrammeren en databases,p1,C1.112,di,15
Yuri van Mourik,Webprogrammeren en databases,h2,A1.04,do,11
Wafa Bart,Kansrekenen 2,h1,C0.110,ma,11
Wafa Bart,Kansrekenen 2,h2,C0.110,ma,13
Wafa Bart,Collectieve Intelligentie,p2,A1.06,vr,9
Wafa Bart,Databases 2,h1,C1.112,di,13
Wafa Bart,Collectieve Intelligentie,h2,C0.110,di,13
Wafa Bart,Collectieve Intelligentie,h3,C0.110,di,17
Wafa Bart,Databases 2,w2,A1.04,wo,13
Wafa Bart,Collectieve Intelligentie,w4,A1.08,do,13
Wafa Bart,Analysemethoden en -technieken,h1,C0.110,do,11
Wafa Bart,Collectieve Intelligentie,h1,C0.110,di,15
Leon van den Hoogen,Calculus 2,w2,A1.04,ma,11
Leon van den Hoogen,Calculus 2,h1,C0.110,wo,15
Ceren van den Engel,Compilerbouw,p1,C1.112,do,15
Ceren van den Engel,Compilerbouw,h1,C0.110,wo,13
Ceren van den Engel,Compilerbouw,w1,A1.10,di,9
Ceren van den Engel,Programmeren in Java 2,p4,A1.10,wo,11
Ceren van den Engel,Compilerbouw,h2,C0.110,di,11
Ethan Broer,Kansrekenen 2,h1,C0.110,ma,11
Ethan Broer,Software engineering,p1,C1.112,vr,13
Ethan Broer,Software engineering,h1,C0.110,ma,15
Ethan Broer,Kansrekenen 2,h2,C0.110,ma,13
Ethan Broer,Algoritmen en complexiteit,w2,A1.10,vr,11
