Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Abdel Buth,Informatie- en organisatieontwerp,h1,B0.201,wo,11
Abdel Buth,Architectuur en computerorganisatie,h1,A1.04,ma,9
Abdel Buth,Informatie- en organisatieontwerp,w2,A1.04,wo,9
Abdel Buth,Informatie- en organisatieontwerp,p2,B0.201,wo,13
Abdel Buth,Architectuur en computerorganisatie,h2,A1.06,ma,11
Abdel Buth,Informatie- en organisatieontwerp,h2,C0.110,vr,15
Manuel de Boon,Programmeren in Java 2,p4,C0.110,vr,11
Manuel de Boon,Algoritmen en complexiteit,w1,A1.10,di,11
Manuel de Boon,Machine Learning,h1,C1.112,do,11
Manuel de Boon,Algoritmen en complexiteit,p2,A1.04,vr,13
Manuel de Boon,Project Genetic Algorithms,p3,C0.110,vr,9
Manuel de Boon,Machine Learning,h2,A1.04,do,9
Manuel de Boon,Calculus 2,h1,C0.110,ma,9
Manuel de Boon,Algoritmen en complexiteit,h1,C1.112,ma,13
Manuel de Boon,Calculus 2,w1,A1.10,di,9
Rafaela Polfliet,Calculus 2,w1,A1.10,di,9
Rafaela Polfliet,Advanced Heuristics,h1,C0.110,wo,13
Rafaela Polfliet,Advanced Heuristics,p2,A1.10,wo,11
Rafaela Polfliet,Compilerbouw practicum,p2,A1.08,ma,11
Rafaela Polfliet,Calculus 2,h1,C0.110,ma,9
Rafaela Polfliet,Netwerken en systeembeveiliging,p3,A1.06,do,11
Rhona Vromans,Autonomous Agents 2,h2,A1.04,do,13
Rhona Vromans,Autonomous Agents 2,w1,B0.201,vr,13
Rhona Vromans,Autonomous Agents 2,h1,B0.201,do,11
Rhona Vromans,Autonomous Agents 2,p2,A1.04,ma,11
Agelo van der Meer,Informatie- en organisatieontwerp,h1,B0.201,wo,11
Agelo van der Meer,Informatie- en organisatieontwerp,w2,A1.04,wo,9
Agelo van der Meer,Algoritmen en complexiteit,p2,A1.04,vr,13
Agelo van der Meer,Algoritmen en complexiteit,w2,C1.112,di,13
Agelo van der Meer,Informatie- en organisatieontwerp,h2,C0.110,vr,15
Agelo van der Meer,Programmeren in Java 2,p3,C1.112,di,11
Agelo van der Meer,Informatie- en organisatieontwerp,p1,C1.112,do,9
Agelo van der Meer,Algoritmen en complexiteit,h1,C1.112,ma,13
Arianna Tettero,Programmeren in Java 2,p5,B0.201,di,9
Marco Bloemert,Collectieve Intelligentie,h2,C0.110,di,15
Marco Bloemert,Collectieve Intelligentie,h1,C0.110,di,17
Marco Bloemert,Collectieve Intelligentie,h3,C0.110,di,13
Marco Bloemert,Collectieve Intelligentie,w4,C1.112,wo,15
Marco Bloemert,Collectieve Intelligentie,p3,A1.06,vr,13
Wichard Stienen,Lineaire Algebra,h2,A1.10,ma,11
Wichard Stienen,Lineaire Algebra,h1,C0.110,ma,13
Wichard Stienen,Calculus 2,w2,B0.201,ma,11
Wichard Stienen,Calculus 2,h1,C0.110,ma,9
Luca Pereira,Analysemethoden en -technieken,h1,C0.110,vr,13
Luca Pereira,Architectuur en computerorganisatie,h1,A1.04,ma,9
Luca Pereira,Kansrekenen 2,h2,C0.110,di,9
Luca Pereira,Machine Learning,h1,C1.112,do,11
Luca Pereira,Kansrekenen 2,h1,C0.110,do,13
Luca Pereira,Architectuur en computerorganisatie,h2,A1.06,ma,11
Luca Pereira,Machine Learning,h2,A1.04,do,9
Gradus Dams,Compilerbouw,h2,C0.110,di,11
