Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Marco Bloemert,Collectieve Intelligentie,p2,C1.112,do,11
Marco Bloemert,Collectieve Intelligentie,h3,C0.110,di,17
Marco Bloemert,Collectieve Intelligentie,w1,A1.06,wo,15
Marco Bloemert,Collectieve Intelligentie,h1,C0.110,di,15
Marco Bloemert,Collectieve Intelligentie,h2,C0.110,di,13
Kyra Huibers,Webprogrammeren en databases,w2,C0.110,do,9
Kyra Huibers,Webprogrammeren en databases,p3,A1.04,do,15
Kyra Huibers,Webprogrammeren en databases,h1,A1.04,do,11
Kyra Huibers,Webprogrammeren en databases,h2,C1.112,do,13
Anthonius van Zoelen,Interactie-ontwerp,h1,B0.201,do,11
Anthonius van Zoelen,Interactie-ontwerp,h2,B0.201,do,9
Yuri van Mourik,Webprogrammeren en databases,w1,C1.112,wo,11
Yuri van Mourik,Bioinformatica,h2,C0.110,ma,13
Yuri van Mourik,Software engineering,w2,A1.04,wo,13
Yuri van Mourik,Software engineering,h1,C0.110,ma,15
Yuri van Mourik,Webprogrammeren en databases,h2,C1.112,do,13
Yuri van Mourik,Bioinformatica,p4,C0.110,wo,9
Yuri van Mourik,Bioinformatica,h3,C1.112,ma,11
Yuri van Mourik,Webprogrammeren en databases,h1,A1.04,do,11
Yuri van Mourik,Bioinformatica,w3,A1.04,wo,15
Yuri van Mourik,Webprogrammeren en databases,p2,A1.10,di,9
Yuri van Mourik,Bioinformatica,h1,A1.10,ma,9
Yuri van Mourik,Software engineering,p2,A1.04,do,9
Johannes van der Plaats,Webprogrammeren en databases,w1,C1.112,wo,11
Johannes van der Plaats,Webprogrammeren en databases,h2,C1.112,do,13
Johannes van der Plaats,Webprogrammeren en databases,h1,A1.04,do,11
Johannes van der Plaats,Webprogrammeren en databases,p2,A1.10,di,9
Johannes van der Plaats,Programmeren in Java 2,p1,A1.06,ma,15
Solomon Verhorst,Compilerbouw,h2,C0.110,di,9
Solomon Verhorst,Compilerbouw,w2,A1.04,vr,15
Solomon Verhorst,Compilerbouw,h1,C0.110,di,11
Solomon Verhorst,Compilerbouw,p2,A1.04,di,13
Ynze Freriks,Software engineering,w2,A1.04,wo,13
Ynze Freriks,Software engineering,h1,C0.110,ma,15
Ynze Freriks,Software engineering,p2,A1.04,do,9
Nalinie van Ierland,Webprogrammeren en databases,p1,C1.112,di,15
Nalinie van Ierland,Webprogrammeren en databases,w1,C1.112,wo,11
Nalinie van Ierland,Webprogrammeren en databases,h1,A1.04,do,11
Nalinie van Ierland,Webprogrammeren en databases,h2,C1.112,do,13
Nordin Geboers,Programmeren in Java 2,p3,A1.06,vr,13
Nordin Geboers,Data Mining,w2,C0.110,do,15
Nordin Geboers,Data Mining,h1,B0.201,wo,11
Nordin Geboers,Data Mining,h2,C1.112,vr,11
Nordin Geboers,Data Mining,p4,C1.112,wo,9
Robbie van de Geijn,Reflectie op de digitale cultuur,h1,A1.10,ma,15
Robbie van de Geijn,Reflectie op de digitale cultuur,w3,A1.10,ma,13
Robbie van de Geijn,Reflectie op de digitale cultuur,h2,C1.112,di,9
Robbie van de Geijn,Analysemethoden en -technieken,h1,A1.10,di,11
Seyit Cleven,Heuristieken 2,w3,C1.112,vr,15
Seyit Cleven,Heuristieken 2,h1,A1.04,vr,13
Rayen van de Kruijs,Calculus 2,w3,A1.10,wo,11
Rayen van de Kruijs,Machine Learning,h2,C0.110,vr,9
Rayen van de Kruijs,Kansrekenen 2,h1,C0.110,wo,13
Rayen van de Kruijs,Compilerbouw,w1,C0.110,do,11
Rayen van de Kruijs,Programmeren in Java 2,p4,A1.04,vr,11
Rayen van de Kruijs,Compilerbouw,h2,C0.110,di,9
Rayen van de Kruijs,Kansrekenen 2,h2,C0.110,wo,11
Rayen van de Kruijs,Compilerbouw,p2,A1.04,di,13
Rayen van de Kruijs,Compilerbouw,h1,C0.110,di,11
Rayen van de Kruijs,Calculus 2,h1,C0.110,ma,9
Rayen van de Kruijs,Machine Learning,h1,C1.112,do,9
Vesna Nijs,Moderne Databases,h1,C1.112,ma,13
Vesna Nijs,Moderne Databases,w2,A1.08,di,11
Vesna Nijs,Moderne Databases,p1,A1.08,vr,9
Oumaima Donselaar,Informatie- en organisatieontwerp,h2,C0.110,ma,17
Oumaima Donselaar,Informatie- en organisatieontwerp,w2,C0.110,do,17
Oumaima Donselaar,Informatie- en organisatieontwerp,h1,C1.112,ma,15
Oumaima Donselaar,Informatie- en organisatieontwerp,p2,A1.10,di,15
Judi Hamers,Compilerbouw practicum,p3,A1.04,ma,9
Judi Hamers,Technology for games,h2,B0.201,vr,9
Judi Hamers,Technology for games,h1,C1.112,do,15
Judi Hamers,Technology for games,w3,A1.08,di,9
Aradhna Jonkergouw,Technology for games,h2,B0.201,vr,9
Aradhna Jonkergouw,Technology for games,h1,C1.112,do,15
Aradhna Jonkergouw,Technology for games,w3,A1.08,di,9
Ihsane Wind,Reflectie op de digitale cultuur,w1,A1.08,ma,13
Ihsane Wind,Reflectie op de digitale cultuur,h1,A1.10,ma,15
Ihsane Wind,Reflectie op de digitale cultuur,h2,C1.112,di,9
Keshia Westgeest,Calculus 2,w3,A1.10,wo,11
Keshia Westgeest,Calculus 2,h1,C0.110,ma,9
Tamar Jongbloed,Machine Learning,h2,C0.110,vr,9
Tamar Jongbloed,Kansrekenen 2,h1,C0.110,wo,13
Tamar Jongbloed,Programmeren in Java 2,p6,A1.04,ma,11
Tamar Jongbloed,Project Genetic Algorithms,p2,A1.06,di,9
Tamar Jongbloed,Software engineering,w2,A1.04,wo,13
Tamar Jongbloed,Software engineering,h1,C0.110,ma,15
Tamar Jongbloed,Software engineering,p1,B0.201,wo,15
Tamar Jongbloed,Kansrekenen 2,h2,C0.110,wo,11
Tamar Jongbloed,Machine Learning,h1,C1.112,do,9
Sarena Tjeerdsma,Bioinformatica,h2,C0.110,ma,13
Sarena Tjeerdsma,Kansrekenen 2,h1,C0.110,wo,13
Sarena Tjeerdsma,Bioinformatica,p4,C0.110,wo,9
Sarena Tjeerdsma,Bioinformatica,h3,C1.112,ma,11
Sarena Tjeerdsma,Calculus 2,w1,A1.10,do,13
Sarena Tjeerdsma,Bioinformatica,w3,A1.04,wo,15
Sarena Tjeerdsma,Kansrekenen 2,h2,C0.110,wo,11
Sarena Tjeerdsma,Heuristieken 1,w2,C0.110,vr,11
Sarena Tjeerdsma,Heuristieken 1,h1,B0.201,di,13
Sarena Tjeerdsma,Lineaire Algebra,h1,A1.10,ma,11
Sarena Tjeerdsma,Lineaire Algebra,h2,C1.112,ma,9
Sarena Tjeerdsma,Bioinformatica,h1,A1.10,ma,9
Sarena Tjeerdsma,Calculus 2,h1,C0.110,ma,9
Marianka Selten,Calculus 2,w1,A1.10,do,13
Marianka Selten,Calculus 2,h1,C0.110,ma,9
Sherman Vervaart,Project Numerical Recipes,p2,C1.112,wo,15
Sherman Vervaart,Technology for games,h1,C1.112,do,15
Sherman Vervaart,Technology for games,h2,B0.201,vr,9
Sherman Vervaart,Technology for games,w1,A1.06,vr,11
Scotty van der Stoel,Compilerbouw,w3,C0.110,wo,17
Scotty van der Stoel,Programmeren in Java 2,p6,A1.04,ma,11
Scotty van der Stoel,Compilerbouw,h2,C0.110,di,9
Scotty van der Stoel,Compilerbouw,p2,A1.04,di,13
Scotty van der Stoel,Compilerbouw,h1,C0.110,di,11
Enrique van den Born,Compilerbouw practicum,p1,A1.08,vr,15
Enrique van den Born,Technology for games,h1,C1.112,do,15
Enrique van den Born,Informatie- en organisatieontwerp,h1,C1.112,ma,15
Enrique van den Born,Informatie- en organisatieontwerp,h2,C0.110,ma,17
Enrique van den Born,Informatie- en organisatieontwerp,p1,C0.110,vr,13
Enrique van den Born,Technology for games,h2,B0.201,vr,9
Enrique van den Born,Informatie- en organisatieontwerp,w2,C0.110,do,17
Enrique van den Born,Technology for games,w1,A1.06,vr,11
Djura Kol,Bioinformatica,h2,C0.110,ma,13
Djura Kol,Moderne Databases,h1,C1.112,ma,13
Djura Kol,Technology for games,h1,C1.112,do,15
Djura Kol,Moderne Databases,w2,A1.08,di,11
Djura Kol,Moderne Databases,p3,A1.08,do,13
Djura Kol,Bioinformatica,h3,C1.112,ma,11
Djura Kol,Technology for games,h2,B0.201,vr,9
Djura Kol,Bioinformatica,w3,A1.04,wo,15
Djura Kol,Reflectie op de digitale cultuur,h1,A1.10,ma,15
Djura Kol,Bioinformatica,p3,A1.10,wo,13
Djura Kol,Reflectie op de digitale cultuur,w2,A1.08,wo,11
Djura Kol,Reflectie op de digitale cultuur,h2,C1.112,di,9
Djura Kol,Bioinformatica,h1,A1.10,ma,9
Djura Kol,Technology for games,w1,A1.06,vr,11
Casimir Overbeeke,Collectieve Intelligentie,h3,C0.110,di,17
Casimir Overbeeke,Collectieve Intelligentie,h1,C0.110,di,15
Casimir Overbeeke,Collectieve Intelligentie,w4,A1.04,do,13
Casimir Overbeeke,Collectieve Intelligentie,p3,A1.08,ma,11
Casimir Overbeeke,Collectieve Intelligentie,h2,C0.110,di,13
Winfried Doeve,Project Numerical Recipes,p1,A1.08,wo,13
Jort Vries,Kansrekenen 2,h1,C0.110,wo,13
Jort Vries,Calculus 2,w1,A1.10,do,13
Jort Vries,Programmeren in Java 2,p2,B0.201,vr,15
Jort Vries,Kansrekenen 2,h2,C0.110,wo,11
Jort Vries,Netwerken en systeembeveiliging,p4,A1.08,do,11
Jort Vries,Calculus 2,h1,C0.110,ma,9
Geartsje Jackson,Heuristieken 1,w1,C1.112,di,11
Geartsje Jackson,Heuristieken 1,h1,B0.201,di,13
Theadora Besemer,Data Mining,h1,B0.201,wo,11
Theadora Besemer,Data Mining,w2,C0.110,do,15
Theadora Besemer,Data Mining,h2,C1.112,vr,11
Theadora Besemer,Data Mining,p3,B0.201,do,13
Minoesch Scheltema,Software engineering,w1,B0.201,ma,13
Minoesch Scheltema,Software engineering,h1,C0.110,ma,15
Minoesch Scheltema,Analysemethoden en -technieken,h1,A1.10,di,11
Minoesch Scheltema,Calculus 2,h1,C0.110,ma,9
Minoesch Scheltema,Calculus 2,w2,B0.201,ma,11
Minoesch Scheltema,Software engineering,p2,A1.04,do,9
Cyrano van den Eijnde,Kansrekenen 2,h1,C0.110,wo,13
Cyrano van den Eijnde,Kansrekenen 2,h2,C0.110,wo,11
Cyrano van den Eijnde,Heuristieken 1,w2,C0.110,vr,11
Cyrano van den Eijnde,Heuristieken 1,h1,B0.201,di,13
Cyrano van den Eijnde,Lineaire Algebra,h1,A1.10,ma,11
Cyrano van den Eijnde,Lineaire Algebra,h2,C1.112,ma,9
Rosali Heikoop,Software engineering,w1,B0.201,ma,13
Rosali Heikoop,Programmeren in Java 2,p4,A1.04,vr,11
Rosali Heikoop,Software engineering,h1,C0.110,ma,15
Rosali Heikoop,Netwerken en systeembeveiliging,p3,A1.08,di,13
Rosali Heikoop,Software engineering,p2,A1.04,do,9
Fae van Luttikhuizen,Calculus 2,w1,A1.10,do,13
Fae van Luttikhuizen,Calculus 2,h1,C0.110,ma,9
Fae van Luttikhuizen,Analysemethoden en -technieken,h1,A1.10,di,11
Ken Borsboom,Reflectie op de digitale cultuur,w3,A1.10,ma,13
Ken Borsboom,Reflectie op de digitale cultuur,h2,C1.112,di,9
Ken Borsboom,Reflectie op de digitale cultuur,h1,A1.10,ma,15
Haiko Raaijmakers,Machine Learning,h2,C0.110,vr,9
Haiko Raaijmakers,Reflectie op de digitale cultuur,h1,A1.10,ma,15
Haiko Raaijmakers,Reflectie op de digitale cultuur,h2,C1.112,di,9
Haiko Raaijmakers,Reflectie op de digitale cultuur,w1,A1.08,ma,13
Haiko Raaijmakers,Calculus 2,h1,C0.110,ma,9
Haiko Raaijmakers,Calculus 2,w2,B0.201,ma,11
Haiko Raaijmakers,Machine Learning,h1,C1.112,do,9
Yunus Westera,Compilerbouw,w3,C0.110,wo,17
Yunus Westera,Machine Learning,h2,C0.110,vr,9
Yunus Westera,Compilerbouw,h2,C0.110,di,9
Yunus Westera,Compilerbouw,p2,A1.04,di,13
Yunus Westera,Compilerbouw,h1,C0.110,di,11
Yunus Westera,Machine Learning,h1,C1.112,do,9
Caressa van Roemburg,Programmeren in Java 2,p6,A1.04,ma,11
Leon van den Hoogen,Calculus 2,w3,A1.10,wo,11
Leon van den Hoogen,Calculus 2,h1,C0.110,ma,9
Haroun Lemaire,Calculus 2,w3,A1.10,wo,11
Haroun Lemaire,Bioinformatica,h2,C0.110,ma,13
Haroun Lemaire,Software engineering,h1,C0.110,ma,15
Haroun Lemaire,Software engineering,w2,A1.04,wo,13
Haroun Lemaire,Bioinformatica,p1,A1.04,di,9
Haroun Lemaire,Bioinformatica,h3,C1.112,ma,11
Haroun Lemaire,Bioinformatica,w1,B0.201,di,11
Haroun Lemaire,Bioinformatica,h1,A1.10,ma,9
Haroun Lemaire,Calculus 2,h1,C0.110,ma,9
Haroun Lemaire,Software engineering,p2,A1.04,do,9
Christal Hoogerbrugge,Software engineering,w1,B0.201,ma,13
Christal Hoogerbrugge,Software engineering,h1,C0.110,ma,15
Christal Hoogerbrugge,Webprogrammeren en databases,h2,C1.112,do,13
Christal Hoogerbrugge,Architectuur en computerorganisatie,h1,B0.201,ma,9
Christal Hoogerbrugge,Webprogrammeren en databases,h1,A1.04,do,11
Christal Hoogerbrugge,Webprogrammeren en databases,p2,A1.10,di,9
Christal Hoogerbrugge,Software engineering,p1,B0.201,wo,15
Christal Hoogerbrugge,Architectuur en computerorganisatie,h2,A1.06,ma,11
Christal Hoogerbrugge,Webprogrammeren en databases,w2,C0.110,do,9
Maurice Lima,Compilerbouw practicum,p3,A1.04,ma,9
Maurice Lima,Project Genetic Algorithms,p3,A1.04,wo,11
Do?ukan Krikke,Compilerbouw practicum,p1,A1.08,vr,15
Ilyass Broeks,Bioinformatica,p2,A1.04,ma,15
Ilyass Broeks,Bioinformatica,h2,C0.110,ma,13
Ilyass Broeks,Bioinformatica,h3,C1.112,ma,11
Ilyass Broeks,Zoeken sturen en bewegen,p1,A1.06,wo,13
Ilyass Broeks,Bioinformatica,w3,A1.04,wo,15
Ilyass Broeks,Analysemethoden en -technieken,h1,A1.10,di,11
Ilyass Broeks,Bioinformatica,h1,A1.10,ma,9
Shairon van Aaken,Zoeken sturen en bewegen,p3,A1.06,di,11
Marnik Imthorn,Zoeken sturen en bewegen,p2,C1.112,wo,13
Marnik Imthorn,Programmeren in Java 2,p6,A1.04,ma,11
Deejay van der Geer,Algoritmen en complexiteit,p1,A1.08,wo,15
Deejay van der Geer,Data Mining,p1,A1.06,vr,9
Deejay van der Geer,Autonomous Agents 2,h1,A1.10,do,11
Deejay van der Geer,Databases 2,w2,A1.10,do,15
Deejay van der Geer,Algoritmen en complexiteit,h1,B0.201,di,9
Deejay van der Geer,Autonomous Agents 2,w3,A1.08,wo,9
Deejay van der Geer,Databases 2,h1,C0.110,do,13
Deejay van der Geer,Autonomous Agents 2,p3,B0.201,wo,13
Deejay van der Geer,Data Mining,w3,A1.04,wo,9
Deejay van der Geer,Data Mining,h1,B0.201,wo,11
Deejay van der Geer,Autonomous Agents 2,h2,A1.06,do,9
Deejay van der Geer,Data Mining,h2,C1.112,vr,11
Deejay van der Geer,Heuristieken 2,w2,C0.110,vr,15
Deejay van der Geer,Heuristieken 2,h1,A1.04,vr,13
Deejay van der Geer,Algoritmen en complexiteit,w1,A1.04,di,11
Berdina Heijman,Netwerken en systeembeveiliging,p5,A1.06,do,13
Berdina Heijman,Project Genetic Algorithms,p1,A1.10,di,13
Berdina Heijman,Kansrekenen 2,h1,C0.110,wo,13
Berdina Heijman,Kansrekenen 2,h2,C0.110,wo,11
Javier Pruijmboom,Calculus 2,w3,A1.10,wo,11
Javier Pruijmboom,Calculus 2,h1,C0.110,ma,9
Romaisa Oostvogels,Bioinformatica,h2,C0.110,ma,13
Romaisa Oostvogels,Kansrekenen 2,h1,C0.110,wo,13
Romaisa Oostvogels,Bioinformatica,p4,C0.110,wo,9
Romaisa Oostvogels,Bioinformatica,h3,C1.112,ma,11
Romaisa Oostvogels,Kansrekenen 2,h2,C0.110,wo,11
Romaisa Oostvogels,Bioinformatica,w1,B0.201,di,11
Romaisa Oostvogels,Project Numerical Recipes,p2,C1.112,wo,15
Romaisa Oostvogels,Heuristieken 2,w2,C0.110,vr,15
Romaisa Oostvogels,Bioinformatica,h1,A1.10,ma,9
Romaisa Oostvogels,Heuristieken 2,h1,A1.04,vr,13
George van Dieten,Heuristieken 2,w2,C0.110,vr,15
George van Dieten,Heuristieken 2,h1,A1.04,vr,13
Gerritjan Joris,Informatie- en organisatieontwerp,h1,C1.112,ma,15
Gerritjan Joris,Informatie- en organisatieontwerp,h2,C0.110,ma,17
Gerritjan Joris,Informatie- en organisatieontwerp,w1,A1.10,vr,15
Gerritjan Joris,Informatie- en organisatieontwerp,p2,A1.10,di,15
Gerritjan Joris,Calculus 2,h1,C0.110,ma,9
Gerritjan Joris,Calculus 2,w2,B0.201,ma,11
Nika van Baaren,Reflectie op de digitale cultuur,h1,A1.10,ma,15
Nika van Baaren,Netwerken en systeembeveiliging,p4,A1.08,do,11
Nika van Baaren,Reflectie op de digitale cultuur,w3,A1.10,ma,13
Nika van Baaren,Reflectie op de digitale cultuur,h2,C1.112,di,9
Nika van Baaren,Analysemethoden en -technieken,h1,A1.10,di,11
Nika van Baaren,Project Genetic Algorithms,p1,A1.10,di,13
Chaimae Swiers,Databases 2,w2,A1.10,do,15
Chaimae Swiers,Programmeren in Java 2,p2,B0.201,vr,15
Chaimae Swiers,Databases 2,h1,C0.110,do,13
Chaimae Swiers,Lineaire Algebra,h1,A1.10,ma,11
Chaimae Swiers,Analysemethoden en -technieken,h1,A1.10,di,11
Chaimae Swiers,Lineaire Algebra,h2,C1.112,ma,9
Brecht Eeltink,Compilerbouw,w3,C0.110,wo,17
Brecht Eeltink,Software engineering,w1,B0.201,ma,13
Brecht Eeltink,Software engineering,h1,C0.110,ma,15
