Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Abram van Mierlo,Software engineering,p1,A1.10,di,15
Abram van Mierlo,Webprogrammeren en databases,h1,A1.08,di,11
Abram van Mierlo,Moderne Databases,p1,A1.10,ma,13
Abram van Mierlo,Software engineering,h1,C0.110,ma,15
Abram van Mierlo,Webprogrammeren en databases,p2,C0.110,ma,9
Abram van Mierlo,Moderne Databases,h1,A1.06,do,11
Abram van Mierlo,Moderne Databases,w1,B0.201,vr,9
Abram van Mierlo,Software engineering,w2,C0.110,ma,17
Abram van Mierlo,Architectuur en computerorganisatie,h2,C1.112,ma,15
Abram van Mierlo,Webprogrammeren en databases,w2,A1.08,wo,11
Abram van Mierlo,Architectuur en computerorganisatie,h1,C1.112,do,13
Abram van Mierlo,Webprogrammeren en databases,h2,A1.04,wo,15
Marck Wijngaarden,Databases 2,h1,A1.10,wo,11
Marck Wijngaarden,Moderne Databases,p3,A1.06,vr,11
Marck Wijngaarden,Moderne Databases,w2,A1.10,di,13
Marck Wijngaarden,Collectieve Intelligentie,p1,C0.110,vr,13
Marck Wijngaarden,Reflectie op de digitale cultuur,h1,B0.201,ma,11
Marck Wijngaarden,Collectieve Intelligentie,h3,A1.08,ma,13
Marck Wijngaarden,Reflectie op de digitale cultuur,w1,B0.201,wo,15
Marck Wijngaarden,Reflectie op de digitale cultuur,h2,C0.110,wo,15
Marck Wijngaarden,Collectieve Intelligentie,h2,B0.201,vr,13
Marck Wijngaarden,Moderne Databases,h1,A1.06,do,11
Marck Wijngaarden,Databases 2,w1,B0.201,do,15
Marck Wijngaarden,Collectieve Intelligentie,w1,A1.08,vr,13
Marck Wijngaarden,Collectieve Intelligentie,h1,B0.201,do,9
Leon van Maurik,Databases 2,h1,A1.10,wo,11
Leon van Maurik,Compilerbouw,h2,C0.110,do,17
Leon van Maurik,Databases 2,w1,B0.201,do,15
Leon van Maurik,Compilerbouw,p2,A1.04,ma,13
Leon van Maurik,Calculus 2,w1,A1.10,di,11
Leon van Maurik,Compilerbouw,w1,C1.112,ma,9
Leon van Maurik,Compilerbouw,h1,C0.110,di,9
Leon van Maurik,Project Numerical Recipes,p3,A1.06,wo,15
Leon van Maurik,Calculus 2,h1,B0.201,vr,15
Adil Klop,Programmeren in Java 2,p4,A1.06,do,13
Adil Klop,Heuristieken 2,w2,B0.201,ma,15
Adil Klop,Calculus 2,w1,A1.10,di,11
Adil Klop,Heuristieken 2,h1,A1.10,ma,9
Adil Klop,Calculus 2,h1,B0.201,vr,15
Goos Dane,Project Genetic Algorithms,p3,A1.08,vr,9
Goos Dane,Zoeken sturen en bewegen,p3,B0.201,wo,13
Goos Dane,Compilerbouw practicum,p3,C0.110,di,11
Romany van Kessel,Calculus 2,h1,B0.201,vr,15
Romany van Kessel,Calculus 2,w2,C1.112,do,15
Hedwich Toetenel,Interactie-ontwerp,h1,C0.110,wo,17
Hedwich Toetenel,Webprogrammeren en databases,h1,A1.08,di,11
Hedwich Toetenel,Webprogrammeren en databases,p2,C0.110,ma,9
Hedwich Toetenel,Webprogrammeren en databases,w2,A1.08,wo,11
Hedwich Toetenel,Interactie-ontwerp,h2,C0.110,do,11
Hedwich Toetenel,Webprogrammeren en databases,h2,A1.04,wo,15
Yuri van Mourik,Bioinformatica,h1,C1.112,ma,11
Yuri van Mourik,Software engineering,p1,A1.10,di,15
Yuri van Mourik,Webprogrammeren en databases,h1,A1.08,di,11
Yuri van Mourik,Bioinformatica,p2,B0.201,ma,9
Yuri van Mourik,Webprogrammeren en databases,p1,A1.04,do,9
Yuri van Mourik,Software engineering,h1,C0.110,ma,15
Yuri van Mourik,Webprogrammeren en databases,w1,A1.10,vr,9
Yuri van Mourik,Software engineering,w1,C1.112,do,11
Yuri van Mourik,Bioinformatica,w2,A1.08,di,13
Yuri van Mourik,Bioinformatica,h2,A1.10,do,9
Yuri van Mourik,Bioinformatica,h3,C1.112,wo,15
Yuri van Mourik,Webprogrammeren en databases,h2,A1.04,wo,15
Mathyn Lamme,Heuristieken 1,w2,A1.06,ma,15
Mathyn Lamme,Heuristieken 1,h1,A1.04,do,15
Mathyn Lamme,Heuristieken 2,h1,A1.10,ma,9
Mathyn Lamme,Heuristieken 2,w2,B0.201,ma,15
Nanette te Braak,Calculus 2,w2,C1.112,do,15
Nanette te Braak,Moderne Databases,p2,A1.04,di,13
Nanette te Braak,Moderne Databases,h1,A1.06,do,11
Nanette te Braak,Compilerbouw,h2,C0.110,do,17
Nanette te Braak,Moderne Databases,w1,B0.201,vr,9
Nanette te Braak,Architectuur en computerorganisatie,h2,C1.112,ma,15
Nanette te Braak,Architectuur en computerorganisatie,h1,C1.112,do,13
Nanette te Braak,Compilerbouw,p2,A1.04,ma,13
Nanette te Braak,Compilerbouw,w1,C1.112,ma,9
Nanette te Braak,Compilerbouw,h1,C0.110,di,9
Nanette te Braak,Calculus 2,h1,B0.201,vr,15
Pearl van der Leek,Moderne Databases,p1,A1.10,ma,13
Pearl van der Leek,Moderne Databases,w2,A1.10,di,13
Pearl van der Leek,Moderne Databases,h1,A1.06,do,11
Sarena Tjeerdsma,Bioinformatica,h1,C1.112,ma,11
Sarena Tjeerdsma,Heuristieken 1,h1,A1.04,do,15
Sarena Tjeerdsma,Calculus 2,w1,A1.10,di,11
Sarena Tjeerdsma,Bioinformatica,p3,B0.201,vr,11
Sarena Tjeerdsma,Heuristieken 1,w1,A1.08,do,9
Sarena Tjeerdsma,Calculus 2,h1,B0.201,vr,15
Sarena Tjeerdsma,Lineaire Algebra,h1,C0.110,ma,11
Sarena Tjeerdsma,Bioinformatica,w2,A1.08,di,13
Sarena Tjeerdsma,Kansrekenen 2,h1,A1.04,vr,11
Sarena Tjeerdsma,Lineaire Algebra,h2,A1.08,ma,11
Sarena Tjeerdsma,Bioinformatica,h2,A1.10,do,9
Sarena Tjeerdsma,Kansrekenen 2,h2,A1.06,ma,9
Sarena Tjeerdsma,Bioinformatica,h3,C1.112,wo,15
