Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Sverre Hoenderdos,Analysemethoden en -technieken,h1,C0.110,ma,9
Ceciel Kentie,Programmeren in Java 2,p4,A1.04,vr,13
Ceciel Kentie,Moderne Databases,w1,C1.112,ma,15
Ceciel Kentie,Reflectie op de digitale cultuur,h2,A1.08,wo,13
Ceciel Kentie,Reflectie op de digitale cultuur,w2,A1.04,do,11
Ceciel Kentie,Moderne Databases,h1,C0.110,do,11
Ceciel Kentie,Moderne Databases,p1,A1.10,wo,9
Ceciel Kentie,Reflectie op de digitale cultuur,h1,A1.06,vr,15
Lakshmi van der Gaag,Databases 2,h1,A1.08,ma,13
Lakshmi van der Gaag,Databases 2,w1,A1.06,vr,13
Ngoc Kropman,Kansrekenen 2,h2,A1.06,do,9
Ngoc Kropman,Kansrekenen 2,h1,A1.08,vr,13
Thyrza Blik,Lineaire Algebra,h1,B0.201,wo,13
Thyrza Blik,Lineaire Algebra,h2,C0.110,do,9
Rins Oosterbeek,Data Mining,h1,A1.06,wo,9
Rins Oosterbeek,Data Mining,w1,A1.08,do,13
Rins Oosterbeek,Informatie- en organisatieontwerp,h2,A1.06,do,15
Rins Oosterbeek,Informatie- en organisatieontwerp,p2,A1.08,do,15
Rins Oosterbeek,Data Mining,p3,A1.08,wo,11
Rins Oosterbeek,Data Mining,h2,A1.06,wo,13
Rins Oosterbeek,Zoeken sturen en bewegen,p3,A1.10,vr,13
Rins Oosterbeek,Informatie- en organisatieontwerp,w2,A1.10,wo,11
Rins Oosterbeek,Informatie- en organisatieontwerp,h1,C0.110,di,9
Wytske Buining,Reflectie op de digitale cultuur,w1,B0.201,ma,11
Wytske Buining,Algoritmen en complexiteit,w2,B0.201,wo,11
Wytske Buining,Programmeren in Java 2,p3,B0.201,di,11
Wytske Buining,Compilerbouw,p2,C1.112,ma,13
Wytske Buining,Databases 2,h1,A1.08,ma,13
Wytske Buining,Compilerbouw,h2,C0.110,vr,13
Wytske Buining,Databases 2,w2,C0.110,di,13
Wytske Buining,Algoritmen en complexiteit,p2,A1.04,di,11
Wytske Buining,Reflectie op de digitale cultuur,h2,A1.08,wo,13
Wytske Buining,Compilerbouw,w1,A1.10,wo,15
Wytske Buining,Compilerbouw,h1,C0.110,vr,15
Wytske Buining,Algoritmen en complexiteit,h1,C1.112,ma,11
Wytske Buining,Reflectie op de digitale cultuur,h1,A1.06,vr,15
Anne-Jet Hofman,Webprogrammeren en databases,p1,C1.112,wo,9
Anne-Jet Hofman,Webprogrammeren en databases,h1,C1.112,wo,13
Anne-Jet Hofman,Webprogrammeren en databases,h2,C1.112,do,13
Anne-Jet Hofman,Webprogrammeren en databases,w1,A1.10,vr,11
Bobby Veldhuis,Webprogrammeren en databases,h1,C1.112,wo,13
Bobby Veldhuis,Heuristieken 2,w2,A1.08,wo,15
Bobby Veldhuis,Webprogrammeren en databases,p1,C1.112,wo,9
Bobby Veldhuis,Webprogrammeren en databases,h2,C1.112,do,13
Bobby Veldhuis,Collectieve Intelligentie,w2,A1.06,ma,11
Bobby Veldhuis,Collectieve Intelligentie,h3,A1.06,di,13
Bobby Veldhuis,Collectieve Intelligentie,h1,B0.201,ma,9
Bobby Veldhuis,Collectieve Intelligentie,h2,A1.06,di,15
Bobby Veldhuis,Webprogrammeren en databases,w2,A1.06,do,13
Bobby Veldhuis,Collectieve Intelligentie,p3,A1.08,di,11
Bobby Veldhuis,Heuristieken 2,h1,C0.110,ma,17
Bobby Veldhuis,Programmeren in Java 2,p2,A1.08,vr,9
Chesney Autar,Moderne Databases,p1,A1.10,wo,9
Chesney Autar,Moderne Databases,w3,C0.110,do,15
Chesney Autar,Moderne Databases,h1,C0.110,do,11
Quido Deniz,Interactie-ontwerp,h2,C0.110,wo,15
Quido Deniz,Programmeren in Java 2,p5,A1.10,wo,13
Quido Deniz,Lineaire Algebra,h1,B0.201,wo,13
Quido Deniz,Interactie-ontwerp,h1,C0.110,di,11
Quido Deniz,Lineaire Algebra,h2,C0.110,do,9
Devlin Bronsema,Informatie- en organisatieontwerp,w2,A1.10,wo,11
Devlin Bronsema,Programmeren in Java 2,p4,A1.04,vr,13
Devlin Bronsema,Databases 2,w1,A1.06,vr,13
Devlin Bronsema,Databases 2,h1,A1.08,ma,13
