Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Bahattin Geelen,Technology for games,h2,A1.04,do,13
Bahattin Geelen,Technology for games,h1,A1.04,do,15
Bahattin Geelen,Technology for games,w1,A1.04,do,11
Oliver Milder,Calculus 2,h1,C0.110,do,11
Oliver Milder,Heuristieken 2,h1,B0.201,vr,11
Oliver Milder,Calculus 2,w1,A1.04,wo,15
Oliver Milder,Heuristieken 2,w2,A1.10,vr,9
Oliver Milder,Architectuur en computerorganisatie,h2,A1.04,ma,9
Oliver Milder,Architectuur en computerorganisatie,h1,C1.112,ma,11
Oliver Milder,Project Genetic Algorithms,p2,A1.06,wo,13
Andre Putters,Technology for games,h2,A1.04,do,13
Andre Putters,Data Mining,h2,A1.04,vr,13
Andre Putters,Reflectie op de digitale cultuur,h1,A1.10,do,15
Andre Putters,Data Mining,h1,A1.04,vr,15
Andre Putters,Autonomous Agents 2,w6,A1.06,vr,11
Andre Putters,Reflectie op de digitale cultuur,w3,A1.08,wo,11
Andre Putters,Data Mining,w2,A1.08,wo,9
Andre Putters,Reflectie op de digitale cultuur,h2,A1.10,di,9
Andre Putters,Technology for games,h1,A1.04,do,15
Andre Putters,Data Mining,p3,A1.04,di,11
Andre Putters,Heuristieken 1,h1,B0.201,ma,15
Andre Putters,Technology for games,w2,A1.08,ma,15
Andre Putters,Autonomous Agents 2,h1,A1.06,do,13
Andre Putters,Autonomous Agents 2,p2,A1.08,di,13
Andre Putters,Heuristieken 1,w2,A1.04,do,9
Andre Putters,Autonomous Agents 2,h2,A1.06,do,11
Renco van Weel,Technology for games,h2,A1.04,do,13
Renco van Weel,Kansrekenen 2,h2,C0.110,ma,13
Renco van Weel,Software engineering,h1,C0.110,ma,15
Renco van Weel,Kansrekenen 2,h1,C0.110,wo,13
Renco van Weel,Technology for games,h1,A1.04,do,15
Renco van Weel,Technology for games,w1,A1.04,do,11
Renco van Weel,Software engineering,w1,B0.201,vr,9
Renco van Weel,Software engineering,p1,A1.10,wo,15
Renco van Weel,Project Numerical Recipes,p3,A1.08,di,11
Lee Numan,Calculus 2,h1,C0.110,do,11
Lee Numan,Databases 2,w2,B0.201,vr,15
Lee Numan,Calculus 2,w2,A1.10,ma,11
Lee Numan,Databases 2,h1,C0.110,di,9
Romello Reintjes,Collectieve Intelligentie,h3,C0.110,wo,11
